player,playerLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q210919,Edson Braafheid,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,180,centimetre,42
http://www.wikidata.org/entity/Q39230,Marquinhos,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,52
http://www.wikidata.org/entity/Q290847,Horacio López Salgado,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,168,centimetre,17
http://www.wikidata.org/entity/Q214498,David Seaman,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,193,centimetre,51
http://www.wikidata.org/entity/Q285986,Iván Marcano,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,189,centimetre,27
http://www.wikidata.org/entity/Q1926,Alou Diarra,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,190,centimetre,41
http://www.wikidata.org/entity/Q290372,Regis Pitbull,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,175,centimetre,23
http://www.wikidata.org/entity/Q293444,Óscar Rubio Fauria,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,172,centimetre,10
http://www.wikidata.org/entity/Q210916,Álvaro Negredo,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,186,centimetre,52
http://www.wikidata.org/entity/Q38136,Marcelo Vieira,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,174,centimetre,79
http://www.wikidata.org/entity/Q41533,Frank Lampard,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,184,centimetre,99
http://www.wikidata.org/entity/Q231493,Zvonko Pamić,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,185,centimetre,12
http://www.wikidata.org/entity/Q233819,Johan Neeskens,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,173,centimetre,51
http://www.wikidata.org/entity/Q17491,Jean Armel Kana Biyik,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,180,centimetre,22
http://www.wikidata.org/entity/Q4457,Franz Beckenbauer,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,181,centimetre,110
http://www.wikidata.org/entity/Q94329,Andreas Bouchalakis,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,186,centimetre,18
http://www.wikidata.org/entity/Q213676,Liédson,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,175,centimetre,36
http://www.wikidata.org/entity/Q242217,Inka Grings,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,169,centimetre,25
http://www.wikidata.org/entity/Q93744,Viktor Lundberg,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,13
