venue,venueLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q768500,Wentworth Park,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10000,1,6,,2024-04-22T13:41:51Z
http://www.wikidata.org/entity/Q644431,Palais des Sports Pierre Mendès France,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,12000,1,10,,2024-09-01T06:20:14Z
http://www.wikidata.org/entity/Q2570435,Stade Aimé Giral,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,16593,1,8,,2024-07-24T23:53:47Z
http://www.wikidata.org/entity/Q1557921,Galolhu National Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,13000,1,16,,2024-02-13T22:42:36Z
http://www.wikidata.org/entity/Q638087,Olympia,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,16000,1,24,,2024-07-09T07:57:02Z
http://www.wikidata.org/entity/Q3041048,Stade Omnisports Idriss Mahamat Ouya,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,20000,1,11,,2021-02-19T05:17:12Z
http://www.wikidata.org/entity/Q4265835,Lokomotiv Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,15000,1,6,,2024-05-14T07:26:05Z
http://www.wikidata.org/entity/Q3661678,Casement Park,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,32600,1,10,,2024-07-22T07:23:14Z
http://www.wikidata.org/entity/Q3647691,Sochi Central Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10200,1,6,,2024-10-03T20:40:57Z
http://www.wikidata.org/entity/Q1500139,SPC Vojvodina,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,11500,1,14,,2024-09-30T11:52:19Z
http://www.wikidata.org/entity/Q1460236,Stade Jean Dauger,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,16934,1,9,,2024-09-30T18:55:49Z
http://www.wikidata.org/entity/Q4205960,Göransson Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,4000,1,7,,2023-10-19T04:47:35Z
http://www.wikidata.org/entity/Q757535,Ato Boldon Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10000,1,9,,2023-07-17T13:30:18Z
http://www.wikidata.org/entity/Q1508970,Sportforum Chemnitz,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,60000,1,6,,2023-05-31T12:38:41Z
http://www.wikidata.org/entity/Q1823029,Obafemi Awolowo Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,25000,1,10,,2023-12-20T18:22:56Z
http://www.wikidata.org/entity/Q4120509,Al Muharraq Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,20000,1,9,,2021-11-10T01:22:42Z
http://www.wikidata.org/entity/Q639975,United Center,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,23500,1,40,,2024-04-22T13:33:48Z
http://www.wikidata.org/entity/Q1777436,Kristiansand Stadion,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,16600,1,6,,2024-03-28T22:38:04Z
http://www.wikidata.org/entity/Q3661717,Hall of the Legions,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,4200,1,6,,2022-12-30T15:40:04Z
http://www.wikidata.org/entity/Q4347027,Estádio da Serrinha,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,6403,1,10,,2024-03-02T19:20:39Z
http://www.wikidata.org/entity/Q3655473,SKA SKVO Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,2402,1,12,,2024-09-25T06:42:46Z
http://www.wikidata.org/entity/Q4120542,Trelawny Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,25000,1,8,,2022-10-24T13:07:38Z
http://www.wikidata.org/entity/Q1489399,Hy-Vee Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,19500,1,10,,2024-01-24T21:15:34Z
http://www.wikidata.org/entity/Q5358067,Tahnoun bin Mohammed Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,15187,1,13,,2024-02-26T18:05:36Z
http://www.wikidata.org/entity/Q5521343,Ganja City Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,25000,1,17,,2024-06-03T23:42:36Z
http://www.wikidata.org/entity/Q5517771,Galabank,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,2514,1,6,,2024-07-08T20:17:54Z
http://www.wikidata.org/entity/Q3495740,Estadio Mario Camposeco,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,11220,1,9,,2023-11-27T23:31:27Z
