entity,entityLabel,category,property,propertyLabel,value,currencyLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q466297,The Fisher King,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,24000000,United States dollar,36,,2024-11-25T14:26:57Z
http://www.wikidata.org/entity/Q505790,Mission: Impossible 2,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,125000000,United States dollar,54,,2024-11-25T16:13:38Z
http://www.wikidata.org/entity/Q487978,Austin Powers: The Spy Who Shagged Me,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,33000000,United States dollar,41,,2024-10-29T19:36:35Z
http://www.wikidata.org/entity/Q685817,Following,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,6000,United States dollar,38,,2024-11-14T15:01:55Z
http://www.wikidata.org/entity/Q490588,The Bothersome Man,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,14000000,Norwegian krone,17,,2024-11-13T11:04:38Z
http://www.wikidata.org/entity/Q788822,Her,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,23000000,United States dollar,60,,2024-11-20T00:08:58Z
http://www.wikidata.org/entity/Q313874,The Black Dahlia,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,50000000,United States dollar,34,,2024-11-22T09:43:14Z
http://www.wikidata.org/entity/Q628154,Mission: Impossible – Ghost Protocol,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,145000000,United States dollar,51,,2024-11-18T13:07:03Z
http://www.wikidata.org/entity/Q799202,Badlands,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,300000,United States dollar,35,,2024-11-29T11:46:21Z
http://www.wikidata.org/entity/Q806092,Bananas,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,2000000,United States dollar,34,,2024-11-04T06:48:43Z
http://www.wikidata.org/entity/Q886662,Northern Pursuit,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,1290000,United States dollar,11,,2024-11-18T22:50:51Z
http://www.wikidata.org/entity/Q337078,The Big Lebowski,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,15000000,United States dollar,59,,2024-11-07T15:07:45Z
http://www.wikidata.org/entity/Q737904,Asterix & Obelix: Mission Cleopatra,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,50300000,Euro,46,,2024-11-18T07:58:54Z
http://www.wikidata.org/entity/Q733677,Match Point,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,15000000,United States dollar,44,,2024-11-18T13:33:52Z
http://www.wikidata.org/entity/Q429397,Lethal Weapon 4,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,140000000,United States dollar,39,,2024-11-22T13:50:07Z
http://www.wikidata.org/entity/Q795040,Bill & Ted's Bogus Journey,Entertainment,http://www.wikidata.org/prop/direct/P2130,http://www.wikidata.org/prop/direct/P2130,20000000,United States dollar,23,,2024-11-11T22:19:09Z
