entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q1149521,L 1159-16,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.15,solar mass,20
http://www.wikidata.org/entity/Q948220,Q948220,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.78,solar mass,16
http://www.wikidata.org/entity/Q549906,Gliese 146,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.684,solar mass,12
http://www.wikidata.org/entity/Q1141712,Q1141712,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.3,solar mass,17
http://www.wikidata.org/entity/Q1410318,Tupi,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.1,solar mass,11
http://www.wikidata.org/entity/Q1077218,Q1077218,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.03,solar mass,13
http://www.wikidata.org/entity/Q1077262,HD 20367,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.04,solar mass,14
http://www.wikidata.org/entity/Q1367682,Hunor,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.34,solar mass,16
http://www.wikidata.org/entity/Q943340,Gliese 832,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.45,solar mass,25
http://www.wikidata.org/entity/Q851182,Buna,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.35,solar mass,12
http://www.wikidata.org/entity/Q390671,HD 125612,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.1,solar mass,11
http://www.wikidata.org/entity/Q766003,Q766003,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.07,solar mass,13
http://www.wikidata.org/entity/Q4042135,Kepler-15,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.02,solar mass,11
http://www.wikidata.org/entity/Q1154720,Q1154720,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.37,solar mass,13
http://www.wikidata.org/entity/Q1077670,Iota Horologii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.089345,solar mass,19
http://www.wikidata.org/entity/Q1321557,HAT-P-7,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.51,solar mass,14
