entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q4052828,Tangra,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,24547,centimetre per square second,6
http://www.wikidata.org/entity/Q4042145,Kepler-29,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,21700,centimetre per square second,7
http://www.wikidata.org/entity/Q946094,83 Ursae Majoris,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,10,centimetre per square second,7
http://www.wikidata.org/entity/Q4490932,Beta Indi,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,6.3,centimetre per square second,10
http://www.wikidata.org/entity/Q81069,61 Virginis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,23400,centimetre per square second,19
http://www.wikidata.org/entity/Q4636483,3 Centauri,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,5000,centimetre per square second,14
http://www.wikidata.org/entity/Q196848,Zeta Tauri,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,1740,centimetre per square second,22
http://www.wikidata.org/entity/Q4042146,Q4042146,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,14100,centimetre per square second,6
http://www.wikidata.org/entity/Q955530,Gliese 849,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,61800,centimetre per square second,19
http://www.wikidata.org/entity/Q4634552,30 Vulpeculae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,245,centimetre per square second,8
http://www.wikidata.org/entity/Q938829,Zeta Leporis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,10700,centimetre per square second,16
http://www.wikidata.org/entity/Q937748,Theta Coronae Borealis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,5600,centimetre per square second,9
http://www.wikidata.org/entity/Q4042147,Kepler-32,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,1480,centimetre per square second,17
http://www.wikidata.org/entity/Q937839,Zeta1 Scorpii,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,100,centimetre per square second,17
http://www.wikidata.org/entity/Q3780783,Q3780783,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,280,centimetre per square second,6
